epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,318.671,1.02867,0.4852,1.06017,0.88826,0.79111,0.84834,0.60239,1.2552,0.53868,1.14157,0.00119926,0.00119926,0.00119926
43,326.485,1.01344,0.46995,1.0455,0.8201,0.78669,0.84739,0.5896,1.26812,0.56587,1.14685,0.00119802,0.00119802,0.00119802
44,334.133,1.00217,0.46261,1.03755,0.89033,0.77849,0.8412,0.56688,1.25375,0.55545,1.14991,0.00119679,0.00119679,0.00119679
45,341.841,1.02532,0.47309,1.0449,0.91958,0.78618,0.83206,0.56041,1.25868,0.54124,1.15792,0.00119555,0.00119555,0.00119555
46,349.601,1.00778,0.47257,1.0397,0.83657,0.80144,0.86267,0.58031,1.26034,0.53889,1.15864,0.00119431,0.00119431,0.00119431
47,357.326,1.02504,0.4521,1.04777,0.86964,0.79209,0.79862,0.5501,1.27994,0.56284,1.1565,0.00119308,0.00119308,0.00119308
48,364.999,1.01469,0.45183,1.03216,0.92578,0.79043,0.80896,0.55694,1.24233,0.57702,1.15443,0.00119184,0.00119184,0.00119184
49,372.781,1.00623,0.44982,1.03778,0.91275,0.79349,0.80648,0.56582,1.29954,0.55084,1.17222,0.0011906,0.0011906,0.0011906
50,380.511,1.02042,0.46167,1.03548,0.8721,0.78979,0.81089,0.56722,1.25232,0.5617,1.15508,0.00118936,0.00118936,0.00118936
51,388.679,1.01333,0.45493,1.03619,0.95442,0.68505,0.83065,0.55822,1.28729,0.54132,1.16648,0.00118812,0.00118812,0.00118812
52,397.093,1.00327,0.45536,1.04226,0.77431,0.80811,0.85966,0.58012,1.2705,0.52166,1.15521,0.00118689,0.00118689,0.00118689
53,405.924,1.00041,0.45069,1.04174,0.86344,0.79168,0.82357,0.56475,1.30512,0.55069,1.18368,0.00118565,0.00118565,0.00118565
54,414.05,0.99866,0.44302,1.05074,0.87254,0.79303,0.81286,0.52552,1.30109,0.5249,1.18703,0.00118441,0.00118441,0.00118441
55,422.367,0.99012,0.45777,1.0392,0.89843,0.79788,0.82091,0.51597,1.29079,0.54192,1.16846,0.00118317,0.00118317,0.00118317
