epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,958.946,0.58403,0.30401,0.9343,0.96715,0.95271,0.97801,0.84046,0.5821,0.28259,0.99454,0.0098647,0.0098647,0.0098647
43,982.368,0.55789,0.30441,0.91773,0.97234,0.99145,0.98856,0.84912,0.60721,0.29381,1.0152,0.0098614,0.0098614,0.0098614
44,1005.64,0.56078,0.2968,0.91888,0.96809,0.97298,0.99043,0.84653,0.58896,0.29106,1.01535,0.0098581,0.0098581,0.0098581
45,1028.88,0.57132,0.30846,0.92293,0.97326,0.9609,0.98978,0.84747,0.59549,0.28823,1.01243,0.0098548,0.0098548,0.0098548
46,1052.08,0.55952,0.2896,0.90886,0.98577,0.96892,0.99141,0.85328,0.60208,0.27576,1.0093,0.0098515,0.0098515,0.0098515
47,1075.33,0.56803,0.2969,0.91767,0.97161,0.98655,0.99143,0.85679,0.55826,0.27133,0.99996,0.0098482,0.0098482,0.0098482
48,1098.9,0.54471,0.30334,0.91412,0.95429,0.96238,0.96284,0.83472,0.58754,0.28348,1.00397,0.0098449,0.0098449,0.0098449
49,1122.15,0.5436,0.29719,0.91105,0.92355,0.93989,0.94947,0.82811,0.59478,0.28778,1.00905,0.0098416,0.0098416,0.0098416
50,1145.44,0.52853,0.29865,0.90492,0.95497,0.95908,0.95656,0.83652,0.57258,0.26372,0.99681,0.0098383,0.0098383,0.0098383
51,1168.7,0.55202,0.28096,0.91642,0.96509,0.99453,0.97535,0.84784,0.59392,0.26671,0.99841,0.009835,0.009835,0.009835
52,1191.74,0.55715,0.28621,0.91242,0.96311,0.98383,0.98474,0.85455,0.56466,0.25615,0.98904,0.0098317,0.0098317,0.0098317
53,1214.9,0.55783,0.28448,0.91972,0.95201,0.98559,0.97243,0.84756,0.57395,0.26623,0.99548,0.0098284,0.0098284,0.0098284
54,1238.08,0.522,0.27772,0.90793,0.97205,0.98361,0.98826,0.8574,0.60606,0.28635,1.01969,0.0098251,0.0098251,0.0098251
55,1261.89,0.54182,0.30192,0.90709,0.96044,0.96289,0.98166,0.85683,0.58289,0.27076,1.00183,0.0098218,0.0098218,0.0098218
56,1284.97,0.5226,0.28973,0.89083,0.94482,0.95983,0.97553,0.84998,0.61401,0.27505,1.02226,0.0098185,0.0098185,0.0098185
57,1308.11,0.50654,0.26866,0.88767,0.95244,0.9302,0.96391,0.83364,0.60525,0.27271,1.02075,0.0098152,0.0098152,0.0098152
58,1331.21,0.54613,0.27733,0.90892,0.94702,0.96344,0.98173,0.83912,0.6358,0.27392,1.02831,0.0098119,0.0098119,0.0098119
59,1354.29,0.49404,0.26899,0.88587,0.95342,0.93908,0.95618,0.83529,0.61233,0.27965,1.02373,0.0098086,0.0098086,0.0098086
60,1377.33,0.52492,0.27986,0.89896,0.89548,0.96649,0.9499,0.83038,0.61797,0.27514,1.02596,0.0098053,0.0098053,0.0098053
61,1400.46,0.52179,0.27517,0.89827,0.91448,0.97762,0.9628,0.84682,0.57934,0.2602,0.99798,0.009802,0.009802,0.009802
62,1423.53,0.52866,0.27956,0.89989,0.95209,0.95465,0.97248,0.85872,0.5757,0.26528,0.99272,0.0097987,0.0097987,0.0097987
63,1446.5,0.50522,0.27589,0.88535,0.96115,0.97038,0.97113,0.84432,0.55727,0.25588,0.98989,0.0097954,0.0097954,0.0097954
64,1469.52,0.5095,0.26949,0.88826,0.94802,0.98512,0.98801,0.85278,0.58969,0.27223,1.00303,0.0097921,0.0097921,0.0097921
65,1492.6,0.49005,0.27257,0.88282,0.92596,0.97502,0.96132,0.828,0.58452,0.26935,1.00238,0.0097888,0.0097888,0.0097888
66,1515.63,0.49187,0.26485,0.88755,0.92165,0.95059,0.96386,0.81828,0.59277,0.27198,1.0079,0.0097855,0.0097855,0.0097855
67,1538.66,0.50051,0.26211,0.88784,0.95601,0.97372,0.99011,0.86631,0.57794,0.25945,1.01819,0.0097822,0.0097822,0.0097822
68,1561.82,0.5127,0.27353,0.90248,0.95618,0.98622,0.99236,0.83752,0.60185,0.27586,1.03435,0.0097789,0.0097789,0.0097789
69,1584.74,0.48397,0.27542,0.885,0.9651,0.99259,0.99297,0.85372,0.60518,0.27562,1.02567,0.0097756,0.0097756,0.0097756
70,1607.64,0.50264,0.27015,0.89338,0.97245,0.99479,0.99185,0.87668,0.56158,0.25353,1.00562,0.0097723,0.0097723,0.0097723
71,1630.76,0.50963,0.26514,0.89704,0.97175,0.98364,0.99249,0.86453,0.57364,0.25666,1.01264,0.009769,0.009769,0.009769
72,1653.66,0.47821,0.25323,0.88557,0.96896,0.97327,0.99155,0.88173,0.56208,0.24804,1.00983,0.0097657,0.0097657,0.0097657
73,1676.56,0.47878,0.2653,0.88652,0.9869,0.92959,0.9882,0.86058,0.58045,0.25555,1.01804,0.0097624,0.0097624,0.0097624
74,1699.42,0.48756,0.27101,0.89511,0.94897,0.99728,0.98502,0.86022,0.58545,0.26567,1.02049,0.0097591,0.0097591,0.0097591
75,1722.41,0.49717,0.26017,0.89352,0.95817,0.98378,0.99101,0.85897,0.59376,0.26481,1.01688,0.0097558,0.0097558,0.0097558
76,1745.35,0.48662,0.25611,0.88214,0.98886,0.97542,0.99407,0.86145,0.60174,0.25675,1.01844,0.0097525,0.0097525,0.0097525
77,1768.28,0.49624,0.253,0.89097,0.98117,0.9616,0.98543,0.85334,0.56273,0.25671,1.00145,0.0097492,0.0097492,0.0097492
